trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey;
1;1063432205.sql;1063918093.sql;CPG_comments;Insertion:UpdateTable;msg_hdr_ip;TINYTEXT;false;0;-;
1;1063432205.sql;1063918093.sql;CPG_comments;Insertion:UpdateTable;msg_raw_ip;TINYTEXT;false;0;-;
2;1063918093.sql;1064961833.sql;CPG_pictures;Insertion:UpdateTable;pic_hdr_ip;TINYTEXT;false;0;-;
2;1063918093.sql;1064961833.sql;CPG_pictures;Insertion:UpdateTable;pic_raw_ip;TINYTEXT;false;0;-;
3;1064961833.sql;1065051572.sql;CPG_banned;Insertion:NewTable;ban_id;INT(11);true;0;-;
3;1064961833.sql;1065051572.sql;CPG_banned;Insertion:NewTable;expiry;DATETIME;false;0;-;
3;1064961833.sql;1065051572.sql;CPG_banned;Insertion:NewTable;ip_addr;TINYTEXT;false;0;-;
3;1064961833.sql;1065051572.sql;CPG_banned;Insertion:NewTable;user_id;INT(11);false;0;-;
4;1065051572.sql;1066282448.sql;CPG_categories;Insertion:UpdateTable;thumb;INT(11);false;0;-;
4;1065051572.sql;1066282448.sql;CPG_exif;Insertion:NewTable;exifData;TEXT;false;0;-;
4;1065051572.sql;1066282448.sql;CPG_exif;Insertion:NewTable;filename;VARCHAR(255);false;0;-;
5;1066282448.sql;1075630671.sql;CPG_filetypes;Insertion:NewTable;content;CHAR(15);false;0;-;
5;1066282448.sql;1075630671.sql;CPG_filetypes;Insertion:NewTable;extension;CHAR(7);false;0;-;
5;1066282448.sql;1075630671.sql;CPG_filetypes;Insertion:NewTable;mime;CHAR(30);false;0;-;
6;1075630671.sql;1078065017.sql;CPG_ecards;Insertion:NewTable;date;TINYTEXT;false;0;-;
6;1075630671.sql;1078065017.sql;CPG_ecards;Insertion:NewTable;eid;INT(11);true;0;-;
6;1075630671.sql;1078065017.sql;CPG_ecards;Insertion:NewTable;link;TEXT;false;0;-;
6;1075630671.sql;1078065017.sql;CPG_ecards;Insertion:NewTable;recipient_email;TEXT;false;0;-;
6;1075630671.sql;1078065017.sql;CPG_ecards;Insertion:NewTable;recipient_name;VARCHAR(50);false;0;-;
6;1075630671.sql;1078065017.sql;CPG_ecards;Insertion:NewTable;sender_email;TEXT;false;0;-;
6;1075630671.sql;1078065017.sql;CPG_ecards;Insertion:NewTable;sender_ip;TINYTEXT;false;0;-;
6;1075630671.sql;1078065017.sql;CPG_ecards;Insertion:NewTable;sender_name;VARCHAR(50);false;0;-;
7;1078065017.sql;1078125890.sql;CPG_albums;Insertion:UpdateTable;keyword;VARCHAR(50);false;0;-;
8;1078125890.sql;1079907675.sql;-;-;-;-;-;-;-;
9;1079907675.sql;1080709066.sql;CPG_temp_data;Insertion:NewTable;encoded_string;BLOB;false;0;-;
9;1079907675.sql;1080709066.sql;CPG_temp_data;Insertion:NewTable;timestamp;INT(11);false;0;-;
9;1079907675.sql;1080709066.sql;CPG_temp_data;Insertion:NewTable;unique_ID;CHAR(8);false;0;-;
9;1079907675.sql;1080709066.sql;CPG_usergroups;Insertion:UpdateTable;custom_user_upload;TINYINT(4);false;0;-;
9;1079907675.sql;1080709066.sql;CPG_usergroups;Insertion:UpdateTable;num_URI_upload;TINYINT(4);false;0;-;
9;1079907675.sql;1080709066.sql;CPG_usergroups;Insertion:UpdateTable;num_file_upload;TINYINT(4);false;0;-;
9;1079907675.sql;1080709066.sql;CPG_usergroups;Insertion:UpdateTable;upload_form_config;TINYINT(4);false;0;-;
10;1080709066.sql;1086369394.sql;CPG_users;Insertion:UpdateTable;user_group_list;VARCHAR(255);false;0;-;
10;1080709066.sql;1086369394.sql;CPG_users;Deletion:UpdateTable;user_lang;VARCHAR(255);false;0;-;
11;1086369394.sql;1086848415.sql;CPG_filetypes;Update:KeyChange;extension;CHAR(7);true;0;-;
12;1086848415.sql;1087193328.sql;CPG_users;Insertion:UpdateTable;user_favpics;TEXT;false;0;-;
13;1087193328.sql;1087400215.sql;CPG_pictures;Insertion:UpdateTable;lasthit_ip;TINYTEXT;false;0;-;
14;1087400215.sql;1087474114.sql;CPG_favpics;Insertion:NewTable;user_favpics;TEXT;false;0;-;
14;1087400215.sql;1087474114.sql;CPG_favpics;Insertion:NewTable;user_id;INT(11);false;0;-;
14;1087400215.sql;1087474114.sql;CPG_users;Deletion:UpdateTable;user_favpics;TEXT;false;0;-;
15;1087474114.sql;1087629270.sql;CPG_dict;Insertion:NewTable;keyId;BIGINT(20);true;0;-;
15;1087474114.sql;1087629270.sql;CPG_dict;Insertion:NewTable;keyword;VARCHAR(60);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Deletion:UpdateTable;user_interests;VARCHAR(255);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Deletion:UpdateTable;user_location;VARCHAR(255);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Deletion:UpdateTable;user_occupation;VARCHAR(255);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Deletion:UpdateTable;user_website;VARCHAR(255);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Insertion:UpdateTable;user_profile1;VARCHAR(255);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Insertion:UpdateTable;user_profile2;VARCHAR(255);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Insertion:UpdateTable;user_profile3;VARCHAR(255);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Insertion:UpdateTable;user_profile4;VARCHAR(255);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Insertion:UpdateTable;user_profile5;VARCHAR(255);false;0;-;
16;1087629270.sql;1087640779.sql;CPG_users;Insertion:UpdateTable;user_profile6;VARCHAR(255);false;0;-;
17;1087640779.sql;1087938735.sql;CPG_users;Update:TypeChange;user_profile6;TEXT;false;0;-;
18;1087938735.sql;1088594299.sql;-;-;-;-;-;-;-;
19;1088594299.sql;1089090208.sql;CPG_albums;Insertion:UpdateTable;alb_password;VARCHAR(32);false;0;-;
20;1089090208.sql;1089786814.sql;CPG_plugins;Insertion:NewTable;name;VARCHAR(64);false;0;-;
20;1089090208.sql;1089786814.sql;CPG_plugins;Insertion:NewTable;path;VARCHAR(128);false;0;-;
20;1089090208.sql;1089786814.sql;CPG_plugins;Insertion:NewTable;plugin_id;INT(10);true;0;-;
20;1089090208.sql;1089786814.sql;CPG_plugins;Insertion:NewTable;priority;INT(10);false;0;-;
21;1089786814.sql;1091797667.sql;CPG_albums;Insertion:UpdateTable;alb_password_hint;TEXT;false;0;-;
22;1091797667.sql;1092004679.sql;-;-;-;-;-;-;-;
23;1092004679.sql;1092005267.sql;-;-;-;-;-;-;-;
24;1092005267.sql;1092083664.sql;CPG_banned;Insertion:UpdateTable;brute_force;TINYINT(5);false;0;-;
25;1092083664.sql;1092371107.sql;CPG_pictures;Insertion:UpdateTable;position;INT(11);false;0;-;
26;1092371107.sql;1094702316.sql;CPG_bridge;Insertion:NewTable;name;VARCHAR(40);false;0;-;
26;1092371107.sql;1094702316.sql;CPG_bridge;Insertion:NewTable;value;VARCHAR(255);false;0;-;
27;1094702316.sql;1096977771.sql;CPG_hit_stats;Insertion:NewTable;browser;VARCHAR(255);false;0;-;
27;1094702316.sql;1096977771.sql;CPG_hit_stats;Insertion:NewTable;ip;VARCHAR(20);false;0;-;
27;1094702316.sql;1096977771.sql;CPG_hit_stats;Insertion:NewTable;os;VARCHAR(50);false;0;-;
27;1094702316.sql;1096977771.sql;CPG_hit_stats;Insertion:NewTable;pid;VARCHAR(100);false;0;-;
27;1094702316.sql;1096977771.sql;CPG_hit_stats;Insertion:NewTable;referer;TEXT;false;0;-;
27;1094702316.sql;1096977771.sql;CPG_hit_stats;Insertion:NewTable;sdate;BIGINT(20);false;0;-;
27;1094702316.sql;1096977771.sql;CPG_hit_stats;Insertion:NewTable;search_phrase;VARCHAR(255);false;0;-;
